Section,ID,Extended,RTR,Length,Data,Count,Timestamps
IN_B_NOT_A,762,0,0,8,"0,0,41,24,0,0,200,0",2,"3.640264,9.359469"
IN_B_NOT_A,762,0,0,8,"0,0,42,24,0,0,200,0",2,"3.599741,9.341114"
IN_B_NOT_A,762,0,0,8,"0,0,43,24,0,0,200,0",4,"3.579902,5.699577,9.320698,11.64003"
IN_B_NOT_A,762,0,0,8,"0,0,44,24,0,0,200,0",2,"3.559422,9.299591"
IN_B_NOT_A,762,0,0,8,"0,0,45,24,0,0,200,0",4,"3.542281,5.720646,9.281079,11.659396"
IN_B_NOT_A,762,0,0,8,"0,0,46,24,0,0,200,0",2,"3.520556,9.260168"
IN_B_NOT_A,762,0,0,8,"0,0,47,24,0,0,200,0",2,"3.499481,9.24017"
IN_B_NOT_A,762,0,0,8,"0,0,48,24,0,0,200,0",1,9.220654
IN_B_NOT_A,762,0,0,8,"0,0,49,24,0,0,200,0",1,3.47992
IN_B_NOT_A,762,0,0,8,"0,0,50,24,0,0,200,0",4,"3.459397,5.741174,9.199569,11.680126"
IN_B_NOT_A,762,0,0,8,"0,0,51,24,0,0,200,0",1,9.180098
IN_B_NOT_A,762,0,0,8,"0,0,52,24,0,0,200,0",1,3.442245
IN_B_NOT_A,762,0,0,8,"0,0,53,24,0,0,200,0",1,9.159761
IN_B_NOT_A,762,0,0,8,"0,0,54,24,0,0,200,0",1,3.420469
IN_B_NOT_A,762,0,0,8,"0,0,55,24,0,0,200,0",3,"5.760095,9.141094,11.699429"
IN_B_NOT_A,762,0,0,8,"0,0,56,24,0,0,200,0",1,3.399496
IN_B_NOT_A,762,0,0,8,"0,0,57,24,0,0,200,0",1,9.120551
IN_B_NOT_A,762,0,0,8,"0,0,58,24,0,0,200,0",1,3.380699
IN_B_NOT_A,762,0,0,8,"0,0,59,24,0,0,200,0",2,"5.779935,9.099573"
IN_B_NOT_A,762,0,0,8,"0,0,60,24,0,0,200,0",1,3.35943
IN_B_NOT_A,762,0,0,8,"0,0,62,24,0,0,200,0",2,"9.080059,11.72057"
IN_B_NOT_A,762,0,0,8,"0,0,63,24,0,0,200,0",2,"3.34115,5.799597"
IN_B_NOT_A,762,0,0,8,"0,0,65,24,0,0,200,0",1,9.05948
IN_B_NOT_A,762,0,0,8,"0,0,66,24,0,0,200,0",1,3.321599
IN_B_NOT_A,762,0,0,8,"0,0,68,24,0,0,200,0",1,9.040193
IN_B_NOT_A,762,0,0,8,"0,0,69,24,0,0,200,0",2,"3.299683,11.741151"
IN_B_NOT_A,762,0,0,8,"0,0,70,24,0,0,200,0",1,5.821543
IN_B_NOT_A,762,0,0,8,"0,0,71,24,0,0,200,0",1,9.02052
IN_B_NOT_A,762,0,0,8,"0,0,73,24,0,0,200,0",1,3.279902
IN_B_NOT_A,762,0,0,8,"0,0,75,24,0,0,200,0",2,"8.999577,11.760091"
IN_B_NOT_A,762,0,0,8,"0,0,76,24,0,0,200,0",1,5.84014
IN_B_NOT_A,762,0,0,8,"0,0,77,24,0,0,200,0",1,3.260095
IN_B_NOT_A,762,0,0,8,"0,0,79,24,0,0,200,0",1,8.980179
IN_B_NOT_A,762,0,0,8,"0,0,81,24,0,0,200,0",1,3.240182
IN_B_NOT_A,762,0,0,8,"0,0,83,24,0,0,200,0",1,11.780811
IN_B_NOT_A,762,0,0,8,"0,0,84,24,0,0,200,0",2,"5.860359,8.959476"
IN_B_NOT_A,762,0,0,8,"0,0,86,24,0,0,200,0",1,3.220574
IN_B_NOT_A,762,0,0,8,"0,0,89,24,0,0,200,0",1,8.941101
IN_B_NOT_A,762,0,0,8,"0,0,91,24,0,0,200,0",2,"3.199488,11.799823"
IN_B_NOT_A,762,0,0,8,"0,0,92,24,0,0,200,0",1,5.879982
IN_B_NOT_A,762,0,0,8,"0,0,94,24,0,0,200,0",1,8.92057
IN_B_NOT_A,762,0,0,8,"0,0,96,24,0,0,200,0",1,3.179913
IN_B_NOT_A,762,0,0,8,"0,0,98,24,0,0,200,0",2,"5.899539,11.82177"
IN_B_NOT_A,778,0,0,8,"132,128,0,126,252,15,0,103",4,"10.580054,10.889341,11.882137,11.901467"
IN_B_NOT_A,778,0,0,8,"132,128,0,127,252,15,0,103",14,"0.889508,1.889557,2.889487,3.88953,4.889498,5.88942,6.889394,7.889382,8.889473,9.889378,11.280609,12.181165,12.88939,13.889439"
IN_B_NOT_A,802,0,0,8,"2,58,0,0,55,255,255,255",5,"3.181803,4.080154,11.781776,11.981091,14.080209"
IN_B_NOT_A,802,0,0,8,"2,90,0,0,55,255,255,255",2,"13.080227,13.380945"
IN_B_NOT_A,813,0,0,8,"2,60,2,60,1,173,78,0",8,"1.762059,2.762075,3.762027,4.762142,5.761033,6.761134,7.761015,8.76108"
IN_B_NOT_A,813,0,0,8,"2,60,2,60,1,176,79,0",1,0.7621
IN_B_NOT_A,813,0,0,8,"2,61,2,61,1,176,78,0",5,"9.762154,10.761147,11.76103,12.761137,13.76116"
IN_B_NOT_A,815,0,0,3,"10,0,0,,,,,",7,"3.329846,3.81292,5.670483,5.810912,9.050439,9.811994,11.608363"
IN_B_NOT_A,815,0,0,3,"14,0,0,,,,,",5,"3.18893,5.838316,8.910202,11.749989,11.812008"
IN_B_NOT_A,815,0,0,3,"19,0,0,,,,,",4,"3.091334,5.928649,8.839743,11.848222"
IN_B_NOT_A,815,0,0,3,"24,0,0,,,,,",5,"3.029635,6.028877,8.728653,8.814638,11.948933"
IN_B_NOT_A,815,0,0,3,"5,0,0,,,,,",4,"4.170367,4.810577,9.889989,10.812034"
IN_B_NOT_A,818,0,0,8,"0,80,216,80,151,9,255,25",4,"0.289561,0.789512,1.289548,1.789671"
IN_B_NOT_A,818,0,0,8,"0,80,216,80,152,9,255,25",13,"2.28952,2.789541,3.28951,3.789509,4.289571,4.789528,5.289538,5.789446,6.289444,6.789447,7.289435,7.789388,8.289559"
IN_B_NOT_A,818,0,0,8,"0,80,216,80,154,9,255,25",12,"8.789466,9.289551,9.789445,10.289434,10.789403,11.289408,11.789435,12.289363,12.789389,13.289408,13.789463,14.289427"
IN_B_NOT_A,826,0,0,8,"24,236,59,127,127,127,127,127",5,"0.564636,1.564402,2.564171,3.563952,4.563664"
IN_B_NOT_A,826,0,0,8,"24,236,60,127,127,127,127,127",5,"5.563408,6.563175,7.562948,8.562979,9.563248"
IN_B_NOT_A,826,0,0,8,"25,0,60,127,127,127,127,127",4,"10.562242,11.56272,12.561988,13.561551"
IN_B_NOT_A,827,0,0,8,"46,255,2,72,0,0,0,0",42,"0.124588,0.224561,0.32456,0.524499,0.624471,0.724459,0.924398,1.124343,1.224344,1.324299,1.524261,1.624258,1.825081,1.924162,2.124131,2.224087,2.324934,2.524026,2.624,2.824373,2.923952,3.123917,3.323865,3.423855,3.623745,3.824325,3.923695,4.123624,4.323576,4.423953,4.523528,4.724366,4.92343,5.123391,5.224161,5.424215,5.623268,5.723608,5.923232,6.123187,6.223188,6.423117"
IN_B_NOT_A,827,0,0,8,"46,255,2,74,0,0,0,0",31,"6.623038,6.824683,7.022932,7.222883,7.422861,7.622798,7.823407,8.022791,8.222839,8.422904,8.622948,8.82314,9.023079,9.223213,9.423206,9.622309,9.822625,10.122176,10.322146,10.522089,10.822507,11.121942,11.42187,11.722528,12.02176,12.32169,12.721682,13.021492,13.421404,13.821468,14.12122"
IN_B_NOT_A,827,0,0,8,"47,255,2,72,0,0,0,0",23,"0.024628,0.42453,0.824695,1.024392,1.424289,1.724293,2.024152,2.42405,2.724392,3.023958,3.223903,3.523866,3.723736,4.023847,4.223908,4.624013,4.823572,5.024127,5.323365,5.523312,5.824454,6.023509,6.323159"
IN_B_NOT_A,827,0,0,8,"47,255,2,74,0,0,0,0",48,"6.523052,6.723299,6.922957,7.122967,7.322865,7.522825,7.723276,7.922835,8.122894,8.322948,8.523002,8.723584,8.923113,9.123168,9.323699,9.523271,9.722384,9.922236,10.02221,10.222185,10.422115,10.622065,10.722226,10.922001,11.021967,11.221947,11.321895,11.521849,11.621879,11.822739,11.921795,12.121771,12.221714,12.421667,12.521631,12.621627,12.822501,12.921509,13.121473,13.221439,13.321419,13.521367,13.621346,13.721614,13.92129,14.02124,14.221205,14.321193"
IN_B_NOT_A,828,0,0,8,"0,102,2,0,0,0,0,0",1,3.043977
IN_B_NOT_A,848,0,0,8,"0,52,12,7,233,11,13,1",1,2.815095
IN_B_NOT_A,848,0,0,8,"1,52,12,7,233,11,13,1",1,3.815623
IN_B_NOT_A,848,0,0,8,"10,52,12,7,233,11,13,1",1,12.815702
IN_B_NOT_A,848,0,0,8,"11,52,12,7,233,11,13,1",1,13.8165
IN_B_NOT_A,848,0,0,8,"2,52,12,7,233,11,13,1",1,4.815203
IN_B_NOT_A,848,0,0,8,"3,52,12,7,233,11,13,1",1,5.815552
IN_B_NOT_A,848,0,0,8,"4,52,12,7,233,11,13,1",1,6.815075
IN_B_NOT_A,848,0,0,8,"5,52,12,7,233,11,13,1",1,7.814579
